dataset,fragment,events,generator,time per event,filter efficiency
BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau0.1mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,5.79e-02,4.42e-04
BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10000.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,3.37e-01,1.87e-02
BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau1000.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,2.04e+00,1.02e-01
BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau100.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,2.79e+00,1.86e-01
BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,2.75e+00,1.83e-01
BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1000.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,1.27e+00,8.48e-02
BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau100.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,2.51e+00,1.57e-01
BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau10.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,3.50e+00,1.59e-01
BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,3.50e+00,1.59e-01
BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau100.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,6.84e-01,3.60e-02
BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau10.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,7.28e-01,3.64e-02
BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau1.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,6.92e-01,3.64e-02
BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau0.1mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,6.92e-01,3.64e-02
BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau10.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,6.29e-02,1.31e-03
BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau1.0mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,6.68e-02,1.31e-03
BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau0.1mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,6.90e-02,1.38e-03
BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau0.01mm_TuneCP5_13TeV-pythia8,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau0.01mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8,5.81e-02,1.35e-03
