dataset,fragment,events,generator,time per event,filter efficiency,size per event
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,13888889,pythia8-evtgen,1.55e-01,1.59e-03,6.63e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,3125000,pythia8-evtgen,2.64e-01,5.17e-03,6.63e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,704225,pythia8-evtgen,3.03e-01,5.85e-03,6.74e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,6756757,pythia8-evtgen,1.16e-01,1.03e-03,6.67e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1288660,pythia8-evtgen,1.55e-01,3.35e-03,6.79e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,486381,pythia8-evtgen,1.75e-01,3.72e-03,6.81e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,11375769,pythia8-evtgen,8.39e-02,8.95e-04,6.04e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1329787,pythia8-evtgen,1.18e-01,1.57e-03,6.87e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,359195,pythia8-evtgen,1.16e-01,1.78e-03,6.96e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,2380952,pythia8-evtgen,1.31e-01,2.40e-03,6.43e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,836120,pythia8-evtgen,3.17e-01,5.58e-03,6.53e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,378788,pythia8-evtgen,3.53e-01,5.87e-03,6.58e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,337838,pythia8-evtgen,3.25e-01,5.87e-03,6.57e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,806442,pythia8-evtgen,1.11e-01,6.10e-04,6.14e+02
